Month	Day	Food	Week	DoW	International	Country
12	2	Fritters	0	0	0	USA
12	4	Cookie	0	0	0	USA
12	8	Brownie	0	0	0	USA
12	9	Pastry	0	0	0	USA
12	10	Lager	0	0	0	USA
12	13	Hot Cocoa	0	0	0	USA
12	15	Cupcake	0	0	0	USA
12	17	Maple Syrup	0	0	0	USA
12	20	Sangria	0	0	0	USA
12	21	Hamburger	0	0	0	USA
12	22	Date Nute Bread	0	0	0	USA
12	24	Eggnog	0	0	0	USA
12	25	Pumpkin Pie	0	0	0	USA
12	27	Fruitcake	0	0	0	USA
12	30	Bicarbonate of Soda	0	0	0	USA
12	31	Champagne	0	0	0	USA
